Time, a.x, a.y, a.z, g.x, g.y, g.z, m.x, m.y, m.z
11798, -0.01, -0.71, 0.98, 15.12, 9.14, -11.01, -0.05, 0.21, -0.39
11868, -0.03, -0.52, 0.97, 21.32, 4.36, 33.80, -0.05, 0.21, -0.38
11949, 0.01, -0.20, 0.83, 15.48, 8.75, 57.18, -0.06, 0.22, -0.38
12033, -0.13, -0.19, 1.00, 28.24, 4.80, 72.69, -0.06, 0.25, -0.38
12101, -0.06, -0.26, 0.99, 36.76, 6.01, 72.69, -0.07, 0.26, -0.38
12169, -0.05, -0.07, 0.97, 39.69, -4.53, 75.14, -0.07, 0.28, -0.37
12238, -0.02, -0.04, 0.88, 29.78, -11.06, 71.72, -0.07, 0.30, -0.37
12308, -0.03, 0.05, 1.09, 45.47, -13.28, 56.04, -0.07, 0.32, -0.37
12380, 0.10, 0.42, 0.97, -10.04, 5.39, 53.99, -0.07, 0.33, -0.36
12450, 0.08, 0.53, 1.03, -5.76, -5.00, 4.93, -0.06, 0.33, -0.37
12520, 0.01, 0.01, 0.98, -6.25, -3.60, -47.36, -0.06, 0.33, -0.37
12590, 0.02, 0.02, 1.00, -30.36, -1.92, -57.38, -0.06, 0.32, -0.37
12659, -0.06, -0.68, 1.20, 5.90, -30.72, -70.18, -0.07, 0.30, -0.37
12729, 0.01, -0.30, 1.05, -39.57, 3.66, -33.43, -0.07, 0.29, -0.37
12798, 0.02, -0.37, 0.95, -18.48, 6.28, -28.62, -0.07, 0.27, -0.37
12880, -0.12, -0.03, 0.97, -24.24, 12.85, -8.67, -0.07, 0.27, -0.37
12950, -0.22, -0.20, 1.08, 11.98, 12.75, 0.46, -0.07, 0.27, -0.37
13019, -0.04, -0.05, 0.57, -24.91, 31.77, -10.26, -0.06, 0.26, -0.38
13088, 0.29, -0.03, 0.88, 9.48, 3.37, 4.49, -0.06, 0.27, -0.38
13158, 0.63, -0.33, 1.12, 20.28, -20.11, -26.81, -0.05, 0.27, -0.37
13228, 0.73, -0.41, 1.06, 21.66, -6.98, -38.42, -0.06, 0.28, -0.38
13297, 0.58, 0.32, 0.90, -9.80, 11.83, 44.95, -0.06, 0.28, -0.37
13367, 0.36, -0.21, 0.87, 10.38, -4.36, 21.58, -0.06, 0.28, -0.37
13438, 0.18, -0.47, 1.15, 18.72, -16.20, 13.52, -0.05, 0.28, -0.37
13508, 0.27, -0.49, 0.79, -11.17, 8.37, -20.22, -0.05, 0.27, -0.38
13578, -0.07, 0.34, 0.75, 21.24, 13.97, 39.28, -0.05, 0.27, -0.37
13647, 0.18, 0.52, 0.55, -52.06, 28.53, 5.89, -0.05, 0.25, -0.38
13719, -0.22, 0.17, 0.77, 20.58, -50.25, 0.79, -0.06, 0.25, -0.39
13788, -0.50, -0.22, 0.87, -10.47, 5.72, -36.66, -0.08, 0.25, -0.38
13857, -0.48, 0.01, 1.21, -57.63, 3.64, 33.74, -0.09, 0.25, -0.38
13927, -0.47, -0.11, 1.21, 11.73, 11.42, 8.10, -0.08, 0.25, -0.38
13999, -0.25, -0.15, 1.14, 28.73, 1.78, 34.40, -0.07, 0.25, -0.38
14069, 0.01, -0.21, 0.49, 41.19, 11.36, 6.94, -0.05, 0.26, -0.38
14138, 0.22, 0.01, 0.50, -9.48, 12.80, -4.17, -0.05, 0.26, -0.38
14208, 0.05, 0.19, 1.73, 9.56, -54.56, 12.77, -0.06, 0.28, -0.37
14277, 0.29, 0.24, 0.98, 0.80, -11.07, 6.76, -0.07, 0.30, -0.37
14346, 0.47, 0.35, 1.08, 14.24, -36.82, 13.74, -0.06, 0.29, -0.36
14415, 0.79, 0.12, 0.58, -47.21, 42.10, 23.18, -0.07, 0.30, -0.35
14487, 0.55, 0.13, 1.09, 23.95, -5.03, 3.57, -0.08, 0.30, -0.35
14556, 0.42, -0.00, 1.07, 8.60, 9.12, 6.35, -0.07, 0.31, -0.35
14624, 0.30, 0.04, 0.67, -3.50, 32.70, 26.74, -0.06, 0.30, -0.35
14693, 0.10, -0.24, 1.10, 23.65, 1.36, -11.35, -0.06, 0.30, -0.37
14763, -0.01, -0.31, 0.83, 1.59, 3.68, -15.81, -0.05, 0.29, -0.38
14833, -0.08, -0.63, 0.76, 16.72, -30.71, -24.52, -0.06, 0.28, -0.38
14904, -0.46, -0.49, 1.48, 2.19, -53.19, -74.92, -0.07, 0.27, -0.39
14973, -0.50, 0.42, 1.00, -11.35, -33.84, 3.89, -0.07, 0.25, -0.39
15046, -0.50, -0.13, 1.17, -50.62, 19.33, -14.07, -0.08, 0.23, -0.39
15116, -0.39, -0.08, 0.91, -5.28, 40.56, 21.08, -0.07, 0.23, -0.38
15185, -0.11, -0.00, 0.67, 28.98, 36.10, 14.19, -0.06, 0.23, -0.40
15255, 0.14, 0.33, 0.48, -3.68, 34.38, 25.05, -0.04, 0.24, -0.39
15324, 0.14, 0.08, 0.87, -16.91, 7.83, 9.07, -0.04, 0.25, -0.39
15392, 0.10, -0.09, 1.26, 18.13, -22.90, -9.27, -0.04, 0.27, -0.39
15463, 0.14, 0.02, 1.94, 47.80, -57.65, 11.99, -0.04, 0.28, -0.38
15533, 0.68, 0.34, 0.69, -29.52, 10.87, 9.51, -0.04, 0.28, -0.38
15600, 0.77, 0.35, 0.73, 18.86, 3.12, 14.98, -0.04, 0.30, -0.37
15670, 0.82, -0.10, 0.63, -2.91, 10.57, -4.65, -0.05, 0.29, -0.37
15739, 0.48, -0.22, 1.19, -28.90, 19.99, -18.36, -0.05, 0.31, -0.37
15808, 0.36, 0.53, 0.96, 59.69, -38.15, 29.88, -0.04, 0.30, -0.37
15877, 0.38, -0.19, 0.47, -67.37, 70.16, 0.17, -0.04, 0.29, -0.38
15945, -0.03, -0.93, 1.67, 15.05, -73.33, -53.71, -0.04, 0.28, -0.39
16014, -0.15, -0.46, 1.38, 22.02, -35.74, -31.69, -0.05, 0.26, -0.38
16098, -0.39, 0.18, 1.36, 77.37, -56.60, 13.66, -0.04, 0.25, -0.39
16180, -0.61, 0.01, 1.56, 35.48, -107.42, 36.09, -0.07, 0.25, -0.39
16249, -0.48, 0.20, 1.27, -19.79, 7.30, 15.11, -0.07, 0.24, -0.38
16319, -0.35, 0.09, 0.82, -23.41, 43.09, 34.99, -0.06, 0.24, -0.39
16388, -0.24, -0.14, 0.79, 21.76, 45.54, 22.09, -0.05, 0.25, -0.40
16457, 0.03, 0.62, 0.90, 4.16, 2.92, 28.46, -0.03, 0.25, -0.40
16526, 0.18, 0.09, 0.90, -54.29, 27.63, -4.35, -0.03, 0.25, -0.39
16595, 0.25, -0.29, 1.26, 10.91, -21.47, 2.04, -0.03, 0.27, -0.39
16669, 0.24, -0.07, 2.00, 72.13, -64.94, 21.45, -0.03, 0.29, -0.38
